2026-05-29 06:02:28 | INFO     | main | Cycle 8 completed: HOLD
2026-05-29 06:02:28 | INFO     | main | Waiting 1 min for next cycle...
2026-05-29 06:02:28 | INFO     | main | 
############################################################
2026-05-29 06:02:28 | INFO     | main |   CYCLE #9
2026-05-29 06:02:28 | INFO     | main | ############################################################
2026-05-29 06:02:28 | INFO     | src.controllers.trading_controller | ========================================
Cycle #9
2026-05-29 06:02:28 | INFO     | src.services.strategy_service |   Breakout: return=-0.08%, trades=60, wr=33.3%
2026-05-29 06:02:28 | INFO     | src.services.strategy_service |   MA_Crossover: return=0.02%, trades=92, wr=39.1%
2026-05-29 06:02:28 | INFO     | src.services.strategy_service |   RSI: return=0.01%, trades=12, wr=50.0%
2026-05-29 06:02:29 | INFO     | src.services.strategy_service |   MACD: return=-0.31%, trades=226, wr=28.3%
2026-05-29 06:02:29 | INFO     | src.services.strategy_service |   Bollinger: return=-0.25%, trades=108, wr=61.1%
2026-05-29 06:02:29 | INFO     | src.services.strategy_service | Regime: CHOPPY
2026-05-29 06:02:29 | INFO     | src.services.strategy_service | Best strategy: RSI (weighted: 0.01)
2026-05-29 06:02:29 | INFO     | src.controllers.trading_controller | Signal: HOLD
2026-05-29 06:02:29 | INFO     | main | Cycle 9 completed: HOLD
2026-05-29 06:02:29 | INFO     | main | Waiting 1 min for next cycle...
2026-05-29 06:02:29 | INFO     | main | 
############################################################
2026-05-29 06:02:29 | INFO     | main |   CYCLE #10
2026-05-29 06:02:29 | INFO     | main | ############################################################
2026-05-29 06:02:29 | INFO     | src.controllers.trading_controller | ========================================
Cycle #10
2026-05-29 06:02:29 | INFO     | src.services.strategy_service |   Breakout: return=-0.08%, trades=60, wr=33.3%
2026-05-29 06:02:29 | INFO     | src.services.strategy_service |   MA_Crossover: return=0.02%, trades=92, wr=39.1%
2026-05-29 06:02:30 | INFO     | src.services.strategy_service |   RSI: return=0.01%, trades=12, wr=50.0%
2026-05-29 06:02:30 | INFO     | src.services.strategy_service |   MACD: return=-0.31%, trades=226, wr=28.3%
2026-05-29 06:02:30 | INFO     | src.services.strategy_service |   Bollinger: return=-0.25%, trades=108, wr=61.1%
2026-05-29 06:02:30 | INFO     | src.services.strategy_service | Regime: CHOPPY
2026-05-29 06:02:30 | INFO     | src.services.strategy_service | Best strategy: RSI (weighted: 0.01)
2026-05-29 06:02:30 | INFO     | src.controllers.trading_controller | Signal: HOLD
2026-05-29 06:02:30 | INFO     | main | Cycle 10 completed: HOLD
2026-05-29 06:02:30 | INFO     | main | Waiting 1 min for next cycle...
2026-05-29 06:02:30 | INFO     | main | 
############################################################
2026-05-29 06:02:30 | INFO     | main |   CYCLE #11
2026-05-29 06:02:30 | INFO     | main | ############################################################
2026-05-29 06:02:30 | INFO     | src.controllers.trading_controller | ========================================
Cycle #11
2026-05-29 06:02:31 | INFO     | src.services.strategy_service |   Breakout: return=-0.08%, trades=60, wr=33.3%
2026-05-29 06:02:31 | INFO     | src.services.strategy_service |   MA_Crossover: return=0.02%, trades=92, wr=39.1%
2026-05-29 06:02:31 | INFO     | src.services.strategy_service |   RSI: return=0.01%, trades=12, wr=50.0%
2026-05-29 06:02:31 | INFO     | src.services.strategy_service |   MACD: return=-0.31%, trades=226, wr=28.3%
2026-05-29 06:02:31 | INFO     | src.services.strategy_service |   Bollinger: return=-0.25%, trades=108, wr=61.1%
2026-05-29 06:02:31 | INFO     | src.services.strategy_service | Regime: CHOPPY
2026-05-29 06:02:31 | INFO     | src.services.strategy_service | Best strategy: RSI (weighted: 0.01)
2026-05-29 06:02:32 | INFO     | src.controllers.trading_controller | Signal: HOLD
2026-05-29 06:02:32 | INFO     | main | Cycle 11 completed: HOLD
2026-05-29 06:02:32 | INFO     | main | Waiting 1 min for next cycle...
2026-05-29 06:02:32 | INFO     | main | 
############################################################
2026-05-29 06:02:32 | INFO     | main |   CYCLE #12
2026-05-29 06:02:32 | INFO     | main | ############################################################
2026-05-29 06:02:32 | INFO     | src.controllers.trading_controller | ========================================
Cycle #12
2026-05-29 06:02:32 | INFO     | src.services.strategy_service |   Breakout: return=-0.08%, trades=60, wr=33.3%
2026-05-29 06:02:32 | INFO     | src.services.strategy_service |   MA_Crossover: return=0.02%, trades=92, wr=39.1%
2026-05-29 06:02:32 | INFO     | src.services.strategy_service |   RSI: return=0.01%, trades=12, wr=50.0%
2026-05-29 06:02:32 | INFO     | src.services.strategy_service |   MACD: return=-0.31%, trades=226, wr=28.3%
2026-05-29 06:02:33 | INFO     | src.services.strategy_service |   Bollinger: return=-0.25%, trades=108, wr=61.1%
2026-05-29 06:02:33 | INFO     | src.services.strategy_service | Regime: CHOPPY
2026-05-29 06:02:33 | INFO     | src.services.strategy_service | Best strategy: RSI (weighted: 0.01)
2026-05-29 06:02:33 | INFO     | src.controllers.trading_controller | Signal: HOLD
2026-05-29 06:02:33 | INFO     | main | Cycle 12 completed: HOLD
2026-05-29 06:02:33 | INFO     | main | Waiting 1 min for next cycle...
2026-05-29 06:02:33 | INFO     | main | 
############################################################
2026-05-29 06:02:33 | INFO     | main |   CYCLE #13
2026-05-29 06:02:33 | INFO     | main | ############################################################
2026-05-29 06:02:33 | INFO     | src.controllers.trading_controller | ========================================
Cycle #13
2026-05-29 06:02:33 | INFO     | src.services.strategy_service |   Breakout: return=-0.08%, trades=60, wr=33.3%
2026-05-29 06:02:33 | INFO     | src.services.strategy_service |   MA_Crossover: return=0.02%, trades=92, wr=39.1%
2026-05-29 06:02:33 | INFO     | src.services.strategy_service |   RSI: return=0.01%, trades=12, wr=50.0%
